"","nationality","tags","score","content","content_detail"
"268","Australia","<U+2022> Leisure trip<U+2022> Group<U+2022> Special Offer - Twin Room with Extra Benefits<U+2022> Stayed 8 nights<U+2022> Submitted via mobile","7.5","¡°I love Singapore and the F1 was fantastic¡±","<U+B198>Breakfast was good but just couldn't eat the bacon<U+B200>Needs a swimming poolStayed in September 2017"
"269","United Kingdom","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.3","¡°Small room¡±","<U+B198>Small roomStayed in September 2017"
"270","Thailand","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Twin Room<U+2022> Stayed 3 nights","7.1","¡°Good location, nice to stay and valuable.¡±","<U+B198>The liquid soap ran out, the house keeper came very late when request.  He walked into the bathroom without take off the shoes.<U+B200>Near public transportation and tourist places. Good and variety breakfast,  WIFI is good.Stayed in September 2017"
"271","Indonesia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.8","¡°Good hotel for budget hotel ¡±","<U+B198>The bathroom felt so small. If you want use the ""free"" mobile phone and gym, you must take the ""extra benefit"" option<U+B200>The staff was very friendly. The bed was comfortable. The location was good, near the bugis junction and the Albert food hawker, but not that close enough to MRT station as other reviews. The breakfast was fair enough, although they have espresso machine Stayed in September 2017"
"272","Sri Lanka","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 12 nights<U+2022> Submitted via mobile","8.8","¡°We enjoyed a lot. And had a great holiday.¡±","<U+B198>Rain in the morning<U+B200>Location and facilities. Very helpful staff.Stayed in September 2017"
"273","Germany","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights","8.3","¡°Good value, friendly staff and ideal for the business traveller on a stopover.¡±","<U+B200>Immensely helpful and friendly staff! Really liked the water bottle-program, which allows you to take borrow to glass bottles from the hotel bar for the length of your stay and get them re-filled as often as you want. Appreciated the black-out curtains and the desk in the room. Conveniently loctated close to MRT. Continental breakfast already is available from 4am onwards, which allowed me to grap a coffee and some toast, even though I was flying out on an early-morning flight. Will definitely stay there again when stopping over in Singapore.Stayed in September 2017"
"274","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°As Expected¡±","<U+B200>Convenient and with Ibis I knew what to expect.Stayed in September 2017"
"275","Philippines","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 5 nights","9.6","¡°It was a great stay! Will definitely come back!¡±","<U+B198>Wifi was slooooooowwww  :(<U+B200>The location was great! Very convenient to the MRT stations and the food courts and hawker stalls! Bugis was within walking distance and close to all the shopping centers and restaurants.Stayed in September 2017"
"276","Pakistan","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","8.8","¡°location¡±","<U+B198>the staff is rude<U+B200>locationStayed in September 2017"
"277","Australia","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 1 night","10","¡°Good value, easy access to sightseeing, great staff!!¡±","<U+B200>The hotel was within easy walking distance of three temples, had taxi's waiting to take you anywhere and did everything they could to make our stay comfortable.  Our room was very good and the food in the restaurant was brilliant, the breaded prawns were yummmmm! Special mention goes out to Dash, and Sally in reception and Mr Bob in security who went the extra mile to help us when needed.Stayed in September 2017"
"278","Indonesia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Excellente<U+009F><U+0091><U+008D>¡±","<U+B198>Nothing<U+B200>Excellente<U+009F><U+0091><U+008D>Stayed in September 2017"
"279","Malaysia","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°Clean and good arrangements despite the busy weekend.¡±","<U+B198>That I have to walk past people burning items for the spirits. Its very bad to the environment. <U+B200>Clean and good arrangements despite the busy weekend. Very efficient staffs! Stayed in September 2017"
"280","Switzerland","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 7 nights","8.5","¡°Good value for money.¡±","<U+B200>Good value for money. Convenient location close to public transportation and within walking distance of several turistic sites.Stayed in September 2017"
"281","Switzerland","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 3 nights","7.5","¡°We had relative difficulties to communicate with some staff...¡±","<U+B198>We had relative difficulties to communicate with some staff members in english, this resulted in one of the guests not being registered in the room, even if the passport was given during the checkin.  That guest had to wait a long time for the other guests to arrive one order to access the room during the second day of our stay. The staff member was not really helpful nor polite.Stayed in September 2017"
"282","United Kingdom","<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights","7.9","¡°Good value, well located hotel.  Public transport is excellent - MRT train S$2.40 Changi to Ibis!¡±","<U+B198>Lack of swimming pool<U+B200>Very helpful and smiley staff at ReceptionStayed in September 2017"
"283","Bangladesh","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.3","¡°Cleanliness ¡±","<U+B198>Room is small for family<U+B200>Cleanliness Stayed in September 2017"
"284","Germany","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.8","¡°Very nice hotel¡±","<U+B198>I saw either hair or brush leftovers in the shower on our first day. Some surface was dusty, I wiped it myself. All the rest was excellent and we liked it there<U+B200>Good location, good value for the money, good breakfast, very friendly staffStayed in September 2017"
"285","Malaysia","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","10","¡°Great¡±","<U+B198>Price<U+B200>LocationStayed in September 2017"
"286","Philippines","<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","8.8","¡°The location is good¡±","<U+B200>The location is goodStayed in September 2017"
"287","Cambodia","<U+2022> Business trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","7.5","¡°Good place, Clean, good services¡±","<U+B198>Room to smallStayed in September 2017"
"288","Qatar","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night","9.2","¡°Loved the property and comfort of the bed¡±","<U+B198>n/a<U+B200>Very clean with comfortable beds. Loved the bed. excellent location. close to shopping places and restaurantsStayed in September 2017"
"289","India","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 4 nights","9.2","¡°Stay was excellent. Would definitely recommend IBIS¡±","<U+B198>A thumbs down for:1. Time taken at the reception 2. Room space<U+B200>A thumbs up for:1. Ambiance2. Cleanliness3. Location4. Quality of breakfastStayed in September 2017"
"290","Indonesia","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights","9.6","¡°Awesome¡±","<U+B198>There is no trash bin in front of lobby lift. It's hard for me to find trash bin in public area, I have to keep my garbage till in my room.<U+B200>Overall is okay. The reception was helpful and friendly. Room is clean and comfort. Easy to get food in bugis area.Stayed in September 2017"
"291","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°would definitely use this hotel again... v clean + comfy!¡±","<U+B198>Noisy air con...<U+B200>Good central location... close to MRT and a great shopping centre... staff so friendly + helpful... bed REALLY comfortable... air con noisy.. but not a problem...Stayed in September 2017"
"292","United Kingdom","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡°I have stayed here several tomes and always good bit this ti¡±","<U+B198>Nothing<U+B200>EverythingStayed in September 2017"
"293","Malaysia","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 1 night","7.9","¡°Overall is ok with the stay and the receptionist is very...¡±","<U+B200>Overall is ok with the stay and the receptionist is very helpful. Short distance walk to Rochor MRT station. Only the pillow is too compact very hard to sleep.Stayed in August 2017"
"294","United Arab Emirates","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights","7.9","¡°We enjoyed our stay.¡±","<U+B198>No complimentary water given.<U+B200>Room was cleaned daily. I loved the location, it's near to bus stops and MRT. It's also near to Bugis street and hawker centers. 7-11 is just outside the hotel, easy to buy water and other necessities.Stayed in September 2017"
"295","Qatar","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°Comferble to fit the pocket and great location¡±","<U+B198>No pool<U+B200>Location and breakfastStayed in September 2017"
"296","Romania","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights","8.8","¡°It is an excellent hotel to stay, close to the city center,...¡±","<U+B200>It is an excellent hotel to stay, close to the city center, close to the bus/mrt stops. Acceptable breakfast, clean room, nice people. I had the feeling that a bit is expensive. Overall, it worth it.Stayed in September 2017"
"297","Malaysia","<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 1 night","10","¡°Excellent, strategic and value for money¡±","<U+B200>Staff is very friendly and helpful. The hotel a strategic located. Will come back and recommended for both family and business travelersStayed in September 2017"
"298","Vietnam","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡°Everything is awesome¡±","<U+B200>Everything is awesomeStayed in September 2017"
"299","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night","8.8","¡°A short stop over made easy by Ibis location.¡±","<U+B200>This was the second time we've stayed here. Located close to Bugis market, 3 train stations  and some really easy cheap feeds. Breakfast at Ibis Bencoolen is unbeatable, fantastic range of food. Would definitely recommendStayed in August 2017"
"300","Germany","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 3 nights","8.3","¡°Excellent location and breakfast, recommend highly!¡±","<U+B198>Couldn't open window, air-con didn't agree with us. In these days of online streamed entertainment, TV was too small and old - no HDMI or USB port for us to watch films we'd brought along.<U+B200>Excellent location; excellent breakfast buffet with a wide range of cuisines; excellent transport links - only short walk to Bugis MRT, bus stop in front of hotel; very helpful, very friendly reception staff, especially Eric.Stayed in August 2017"
"301","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°Good hotel with nice little added extras. Clean and comfortable.¡±","<U+B209>Everything was ok<U+B207>Great all round hotel with lots of little extras such as on site self serve laundry room, free bottled still or sparkling water and discounted food prices for Accorr members. Good location for visiting all the major attractions. Friendly staff along with clean rooms and comfortable beds.Stayed in September 2017"
"302","New Zealand","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights","10","¡°The holiday was part of a bigger portion of our break and it was awesome.  Well done to the staff .¡±","<U+B209>Absolutely nothing.<U+B207>Arrived at the property late at night and the staff checked us in with a big smile and a welcome. The room was smallish but very comfortable.  The best shower was the best we have ever used and the bed and pillows were amazing. Would stay again.  No pool however it didn't stop the enjoyment.  Close to the MRT and eating places.Stayed in August 2017"
"303","Singapore","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","3.8","¡°Nothing much to mention about out stay at this hotel.¡±","<U+B209>Room was small. TV was small.No bathrobes.No room slippers.<U+B207>Location. Breakfast was quite good.Stayed in September 2017"
"304","Australia","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°It was close to everything¡±","<U+B207>Bed was comfyStayed in August 2017"
"305","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","7.5","¡°Great location with comfort¡±","<U+B209>Na<U+B207>Comfy bedStayed in August 2017"
"306","South Korea","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","10","¡°good location¡±","<U+B207>Clean and comfortable.Stayed in September 2017"
"307","Bahrain","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","10","¡°Great place to stay and value for money!¡±","<U+B209>Nothing. Great value for budget hotel.<U+B207>I liked the location close to 2 metro stations and a shopping complex and a street market. In addition the hotel was eco friendly. They provided glass bottles on loan for water and iPads at the bar. They also provided a free phone with free data and calls to several countries. I have seen that only in one other hotel. This was appreciated. The room was small but it's a budget hotel and accordingly expected. Overall great place and amazing value for money. Shoutout to a lovely receptionist called Dash who was very accommodating with our requests for adjoining rooms and several queries.Stayed in August 2017"
"308","Malaysia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights","9.6","¡°The hotel and location is so convenient! Strong vibe area!¡±","<U+B209>None.<U+B207>The location for this hotel was great. Surrounding areas had so many restaurants and hawker stalls. Lots of choices for lunch and dinner. And it is just a walking distance from the MRT. Also walking distance from the nice area of the Singapore Art Museum. Loved the location and convenience.Stayed in August 2017"
"309","Ireland","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡°Good hotel, very good facilities,  and very pleasant and...¡±","<U+B207>Good hotel, very good facilities,  and very pleasant and very helpful staffStayed in August 2017"
"310","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights","9.6","¡°I'd simply stay there again!¡±","<U+B209>It was difficult to get guest services to answer the phone - it rang out several times, at peak times and after hours.<U+B207>I had a medical concern and the staff involved in helping me, especially the concierge guys were INCREDIBLE! They walked to the clinic and ATM with me; insisted I sit down while waiting for a taxi; gave the taxi drivers specific instructions on looking after me.Stayed in August 2017"
"311","Australia","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Comfortable City Stay¡±","<U+B207>The staff were just amazing, from check in and also the man and his staff running the Buffet breakfast they were so lovely and professional amidst a busy period. I loved my room with extras, it was one of the most comfortable city stays I have had- the wifi in room super fast, late check out meant I could sleep in and relax before my flight in the evening and the smartphone with free calls and data was just the most helpful addition the the room- I could explore Singapore with it on maps, use data and tourist info to check out where to eat, make calls to organise taxi or airport shuttle etc- and also touch base with my husband back in the UK, all for no additional cost- it is such a good idea and so helpful!!!Stayed in August 2017"
"312","Vietnam","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Great¡±","<U+B207>The view is nice, near MRT. The staff is really helpful and friendly, quick check-inStayed in August 2017"
"313","Indonesia","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 6 nights<U+2022> Submitted via mobile","6.7","¡°The staffs are helpful.¡±","<U+B209>Breakfast i a little bit boring if you stay more than 3 nights, not so much selection. Room is small.<U+B207>The staffs are helpful. Location is great!Stayed in August 2017"
"314","Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°We'll stay here everytime we're in Singapore!¡±","<U+B209>Toiletries have to be asked from staff. No bidet.<U+B207>Bed is very comfy!Stayed in August 2017"
"315","Australia","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 7 nights<U+2022> Submitted via mobile","9.2","¡°Very happy staying there and will come back to stay again¡±","<U+B209>All good<U+B207>So close to everything,  the view from the room was just great,  breakfast time was very good, transportation is outside the Hotel,  bus line 65 takes you to Sentosa Express's terminal and the hop on hop off stops also outside the hotel,  brilliantStayed in August 2017"
"316","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°Good location. Clean and functional as a resting place for a tourist.¡±","<U+B207>Did not eat at the restaurantStayed in August 2017"
"317","United Kingdom","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","6.7","¡°It's location ¡±","<U+B207>It's location Stayed in August 2017"
"318","Brunei Darussalam","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°I love ibis¡±","<U+B209>Program tv<U+B207>Bed is cozy.. safe and cleanStayed in August 2017"
"319","Philippines","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","9.2","¡°Convenient property in Bugis¡±","<U+B209>Delay with check in, room was not ready at 2 pm. I ordered the salted egg prawn in their restaurant and it did not taste as good as the other restaurants in Singapore.<U+B207>Breakfast has improved since the last time I stayed in the hotel. Room is spotless!Stayed in August 2017"
"320","Italy","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.9","¡°As we missed a connecting flight we only arrived at 11am on...¡±","<U+B209>After picking up stored luggage we couldnt use the bathrooms in the lobby because it could only be accessed with a room key card.<U+B207>As we missed a connecting flight we only arrived at 11am on the morning of checkout but we were still allowed to have the room for a couple of hours beyond checkout time.Stayed in August 2017"
"321","New Zealand","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.8","¡°Comfortable but away from best part of Singapore¡±","<U+B209>Small bathroom<U+B207>Big clean rooms with empty mini bar but coffer making facilities.Stayed in August 2017"
"322","Japan","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights","8.3","¡°Good in the central Singapore¡±","<U+B207>Better location to MRT station and Buggis.Stayed in August 2017"
"323","Sri Lanka","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 4 nights","8.3","¡°Good!¡±","<U+B209>Breakfast finished by 9-9.30am and there was nothing left to eat!<U+B207>Very ncie staff and nice clean roomStayed in August 2017"
"324","Taiwan","<U+2022> Business trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","9.2","¡°Wonderful¡±","<U+B207>Friendly reception and serviceStayed in August 2017"
"325","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights","8.8","¡°Good location and a comfortable bed¡±","<U+B209>Would like more options available for food and drinks<U+B207>Bed was comfortable and bathroom spaciousStayed in August 2017"
"326","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","8.3","¡°Good¡±","<U+B209>Customers jumping the queue when booking in at reception desk.<U+B207>Really liked location on Bencoolan.Stayed in August 2017"
"327","United Kingdom","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.2","¡°Nice stay¡±","<U+B209>The twin beds are too small and the wifi was poor.<U+B207>The cleanliness, location, breakfast, staff are excellent.Stayed in August 2017"
"328","Malaysia","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.5","¡°The view and the cleanliness.¡±","<U+B209>The toilet was a little small but overall it was fine.<U+B207>The view and the cleanliness. The harmonious environment with live band at night was nice.Stayed in August 2017"
"329","Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","9.6","¡°The good taste of foods.¡±","<U+B209>No swimming pool in the hotel. The room is small.<U+B207>The good taste of foods.Stayed in August 2017"
"330","France","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights","8.8","¡°As good as every other time¡±","<U+B209>Having stayed at Ibis' across the world, would love for a gym and a pool perhaps<U+B207>I always stay at Ibis Bencoolen when in Singapore, great location, reasonable pricing (although I think it has come up since my first visit in 2010, have been four other times)Stayed in August 2017"
"331","India","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 5 nights<U+2022> Submitted via mobile","9.2","¡°I'm happy that I chose Ibis  hotel to stay.¡±","<U+B209>NA<U+B207>Very well connected with popular places, (like Arab street, Bugis, Clark Quey, Little India, Chinatown, etc)facilities, ambiance,friendly & helpful staff(specially Indra, sorry don't know his post) .Stayed in August 2017"
"332","Australia","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 3 nights","9.2","¡°Happy with hotel location & comfort.¡±","<U+B209>More tourist attraction brochure's in the lobby there wasnt alot of information and take off your website that you get a free phone to use with your stay there. Cause its not free you have to pay for it<U+B207>Nice clean, good breakfast, quiet location, easy access to subway. Good neighbourhood, comfortable beds.  Friendly service.  Close to good shopping markets, It was all goodStayed in July 2017"
"333","Malaysia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°Good place to stay in.¡±","<U+B207>Clean rooms, nice bed and good location with mrt within walking distance. Lots of restaurant nearbyStayed in August 2017"
"334","Indonesia","<U+2022> Leisure trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","10","¡°It was nice place to stay¡±","<U+B209>Overall is good<U+B207>The atmosphere was nice and near to the food city and mrtStayed in July 2017"
"335","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 3 nights","9.6","¡°Excellent stay and they responded positively to my feedback immediately.¡±","<U+B209>Fridge was a micro size, more room needed for cases.<U+B207>Good breakfast choices, all well cooked. The staff were all excellent.Stayed in August 2017"
"336","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 2 nights<U+2022> Submitted via mobile","7.5","¡°Breakfast was good, Nice service, no complaints!¡±","<U+B207>Breakfast was good, Nice service, no complaints!!Stayed in August 2017"
"337","Australia","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights","10","¡°Great location.¡±","<U+B209>Breakfast was a bit so so. The Asian selection in particular was a bit light on and what was on offer was disappointing.<U+B207>Great location. Close to 2 metro station, walking distance to Orchard Rd, Fort Canning, the Museum, Bugis St. Clean and comfortable room. Courteous staff.Stayed in August 2017"
"338","USA","<U+2022> Leisure trip<U+2022> Group<U+2022> Special Offer - Double Room with Extra Benefits<U+2022> Stayed 5 nights","10","¡°Great location. Recommend the hotel¡±","<U+B207>nice bedStayed in July 2017"
"339","Philippines","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 4 nights<U+2022> Submitted via mobile","9.2","¡°I love SG e<U+009F><U+0092><U+0095>¡±","<U+B209>Please put bidets in the toilets in each rooms e<U+009F><U+0091><U+008D>e<U+009F><U+008F><U+00BB>e<U+009F><U+009A><U+00BD><U+B207>It's accessible to all transportation system:) e<U+009F><U+0091><U+008D>e<U+009F><U+008F><U+00BB>e<U+009F><U+0091><U+008D>e<U+009F><U+008F><U+00BB>e<U+009F><U+0091><U+008D>e<U+009F><U+008F><U+00BB>Stayed in August 2017"
"340","Malaysia","<U+2022> Business trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights","8.8","¡°Convenient location, value for money¡±","<U+B207>Convenient location, value for moneyStayed in July 2017"
"341","Indonesia","<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.1","¡°Easy to reach bugus junction, sim kim sq¡±","<U+B209>Price moderately expensive<U+B207>Easy to reach bugus junction, sim kim sqStayed in August 2017"
"342","Japan","<U+2022> Business trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 5 nights","8.3","¡°The staff is helpful.¡±","<U+B209>The air condition system seems old. It's a little cold in the night even we set 28 Celsius degree with minimum wind speed.We found hair in the clean towel before we use it.<U+B207>The staff is helpful. One day we had a problem about the air conditioner that the air flow from the conditioner is very bad and smelly. We told the staff, and he immediately changed a new room for us.Stayed in August 2017"
"343","Indonesia","<U+2022> Business trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.1","¡°nice stay and convenient¡±","<U+B209>none<U+B207>red moon drinkStayed in August 2017"
"344","United Arab Emirates","<U+2022> Leisure trip<U+2022> Solo traveller<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","7.9","¡°Location.¡±","<U+B207>Location.. Very comfy bedsStayed in August 2017"
"345","Singapore","<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡°Wonderful is all I can say!¡±","<U+B209>Nil<U+B207>Excellent servicesStayed in August 2017"
"346","Hong Kong","<U+2022> Leisure trip<U+2022> Family with young children<U+2022> Standard Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","9.6","¡°Nice.¡±","<U+B209>WiFi speed not fast.<U+B207>Clean and tidy room. Good breakfast. Nice staff. Convenient location.Stayed in August 2017"
"347","New Zealand","<U+2022> Leisure trip<U+2022> Group<U+2022> 2 rooms<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","10","¡°Oldies on tour- New Zealanders loving life.¡±","<U+B207>Loved the staff. Great fun and great advice. Comfortable bedsStayed in August 2017"
"348","Philippines","<U+2022> Leisure trip<U+2022> Couple<U+2022> Standard Double Room<U+2022> Stayed 3 nights","9.2","¡°very nice and comportable stay¡±","<U+B209>toiletries by request<U+B207>the staff are very accomodatingStayed in August 2017"
"349","Indonesia","<U+2022> Business trip<U+2022> Couple<U+2022> Standard Twin Room<U+2022> Stayed 3 nights<U+2022> Submitted via mobile","8.8","¡°Bed, comfort¡±","<U+B209>Wifi, very poor<U+B207>Bed, comfortStayed in August 2017"
"350","Taiwan","<U+2022> Business trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","8.3","¡°Noises because of Chinese tourists at the same story, nobody...¡±","<U+B209>Noises because of Chinese tourists at the same story, nobody help you to open doors when you carry more baggages.Stayed in August 2017"
"351","Poland","<U+2022> Business trip<U+2022> Group<U+2022> Standard Double Room<U+2022> Stayed 7 nights","9.2","¡°The staff was extremely kind and helpful.¡±","<U+B209>The WiFi was quite slow.<U+B207>The staff was extremely kind and helpful. Rooms were OK, clean and comfortable (a big bed and desk), equipped with a TV, fridge and a teapot. Good location (close to two underground stations). Lots of restaurants, shops, etc. just next to the hotel. The breakfast was very good.Stayed in August 2017"
"352","Malaysia","<U+2022> Business trip<U+2022> Group<U+2022> Standard Twin Room<U+2022> Stayed 1 night<U+2022> Submitted via mobile","7.5","¡°Clean¡±","<U+B209>Clean<U+B207>CleanStayed in August 2017"
